,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
0,58,management,married,tertiary,0,2143,1,0,unknown,5,5,261,1,-1,0,0
1,44,technician,single,secondary,0,29,1,0,unknown,5,5,151,1,-1,0,0
2,33,entrepreneur,married,secondary,0,2,1,1,unknown,5,5,76,1,-1,0,0
3,47,blue-collar,married,unknown,0,1506,1,0,unknown,5,5,92,1,-1,0,0
5,35,management,married,tertiary,0,231,1,0,unknown,5,5,139,1,-1,0,0
6,28,management,single,tertiary,0,447,1,1,unknown,5,5,217,1,-1,0,0
7,42,entrepreneur,divorced,tertiary,1,2,1,0,unknown,5,5,380,1,-1,0,0
8,58,retired,married,primary,0,121,1,0,unknown,5,5,50,1,-1,0,0
9,43,technician,single,secondary,0,593,1,0,unknown,5,5,55,1,-1,0,0
10,41,admin.,divorced,secondary,0,270,1,0,unknown,5,5,222,1,-1,0,0
11,29,admin.,single,secondary,0,390,1,0,unknown,5,5,137,1,-1,0,0
12,53,technician,married,secondary,0,6,1,0,unknown,5,5,517,1,-1,0,0
13,58,technician,married,unknown,0,71,1,0,unknown,5,5,71,1,-1,0,0
14,57,services,married,secondary,0,162,1,0,unknown,5,5,174,1,-1,0,0
15,51,retired,married,primary,0,229,1,0,unknown,5,5,353,1,-1,0,0
16,45,admin.,single,unknown,0,13,1,0,unknown,5,5,98,1,-1,0,0
17,57,blue-collar,married,primary,0,52,1,0,unknown,5,5,38,1,-1,0,0
18,60,retired,married,primary,0,60,1,0,unknown,5,5,219,1,-1,0,0
19,33,services,married,secondary,0,0,1,0,unknown,5,5,54,1,-1,0,0
20,28,blue-collar,married,secondary,0,723,1,1,unknown,5,5,262,1,-1,0,0
21,56,management,married,tertiary,0,779,1,0,unknown,5,5,164,1,-1,0,0
22,32,blue-collar,single,primary,0,23,1,1,unknown,5,5,160,1,-1,0,0
23,25,services,married,secondary,0,50,1,0,unknown,5,5,342,1,-1,0,0
24,40,retired,married,primary,0,0,1,1,unknown,5,5,181,1,-1,0,0
25,44,admin.,married,secondary,0,-372,1,0,unknown,5,5,172,1,-1,0,0
26,39,management,single,tertiary,0,255,1,0,unknown,5,5,296,1,-1,0,0
27,52,entrepreneur,married,secondary,0,113,1,1,unknown,5,5,127,1,-1,0,0
28,46,management,single,secondary,0,-246,1,0,unknown,5,5,255,2,-1,0,0
29,36,technician,single,secondary,0,265,1,1,unknown,5,5,348,1,-1,0,0
30,57,technician,married,secondary,0,839,0,1,unknown,5,5,225,1,-1,0,0
31,49,management,married,tertiary,0,378,1,0,unknown,5,5,230,1,-1,0,0
32,60,admin.,married,secondary,0,39,1,1,unknown,5,5,208,1,-1,0,0
33,59,blue-collar,married,secondary,0,0,1,0,unknown,5,5,226,1,-1,0,0
34,51,management,married,tertiary,0,10635,1,0,unknown,5,5,336,1,-1,0,0
35,57,technician,divorced,secondary,0,63,1,0,unknown,5,5,242,1,-1,0,0
36,25,blue-collar,married,secondary,0,-7,1,0,unknown,5,5,365,1,-1,0,0
37,53,technician,married,secondary,0,-3,0,0,unknown,5,5,1666,1,-1,0,0
38,36,admin.,divorced,secondary,0,506,1,0,unknown,5,5,577,1,-1,0,0
39,37,admin.,single,secondary,0,0,1,0,unknown,5,5,137,1,-1,0,0
40,44,services,divorced,secondary,0,2586,1,0,unknown,5,5,160,1,-1,0,0
41,50,management,married,secondary,0,49,1,0,unknown,5,5,180,2,-1,0,0
42,60,blue-collar,married,unknown,0,104,1,0,unknown,5,5,22,1,-1,0,0
43,54,retired,married,secondary,0,529,1,0,unknown,5,5,1492,1,-1,0,0
44,58,retired,married,unknown,0,96,1,0,unknown,5,5,616,1,-1,0,0
45,36,admin.,single,primary,0,-171,1,0,unknown,5,5,242,1,-1,0,0
46,58,self-employed,married,tertiary,0,-364,1,0,unknown,5,5,355,1,-1,0,0
47,44,technician,married,secondary,0,0,1,0,unknown,5,5,225,2,-1,0,0
48,55,technician,divorced,secondary,0,0,0,0,unknown,5,5,160,1,-1,0,0
49,29,management,single,tertiary,0,0,1,0,unknown,5,5,363,1,-1,0,0
50,54,blue-collar,married,secondary,0,1291,1,0,unknown,5,5,266,1,-1,0,0
51,48,management,divorced,tertiary,0,-244,1,0,unknown,5,5,253,1,-1,0,0
52,32,management,married,tertiary,0,0,1,0,unknown,5,5,179,1,-1,0,0
53,42,admin.,single,secondary,0,-76,1,0,unknown,5,5,787,1,-1,0,0
54,24,technician,single,secondary,0,-103,1,1,unknown,5,5,145,1,-1,0,0
55,38,entrepreneur,single,tertiary,0,243,0,1,unknown,5,5,174,1,-1,0,0
56,38,management,single,tertiary,0,424,1,0,unknown,5,5,104,1,-1,0,0
57,47,blue-collar,married,unknown,0,306,1,0,unknown,5,5,13,1,-1,0,0
58,40,blue-collar,single,unknown,0,24,1,0,unknown,5,5,185,1,-1,0,0
59,46,services,married,primary,0,179,1,0,unknown,5,5,1778,1,-1,0,0
60,32,admin.,married,tertiary,0,0,1,0,unknown,5,5,138,1,-1,0,0
61,53,technician,divorced,secondary,0,989,1,0,unknown,5,5,812,1,-1,0,0
62,57,blue-collar,married,primary,0,249,1,0,unknown,5,5,164,1,-1,0,0
63,33,services,married,secondary,0,790,1,0,unknown,5,5,391,1,-1,0,0
64,49,blue-collar,married,unknown,0,154,1,0,unknown,5,5,357,1,-1,0,0
65,51,management,married,tertiary,0,6530,1,0,unknown,5,5,91,1,-1,0,0
66,60,retired,married,tertiary,0,100,0,0,unknown,5,5,528,1,-1,0,0
67,59,management,divorced,tertiary,0,59,1,0,unknown,5,5,273,1,-1,0,0
68,55,technician,married,secondary,0,1205,1,0,unknown,5,5,158,2,-1,0,0
69,35,blue-collar,single,secondary,0,12223,1,1,unknown,5,5,177,1,-1,0,0
70,57,blue-collar,married,secondary,0,5935,1,1,unknown,5,5,258,1,-1,0,0
71,31,services,married,secondary,0,25,1,1,unknown,5,5,172,1,-1,0,0
72,54,management,married,secondary,0,282,1,1,unknown,5,5,154,1,-1,0,0
73,55,blue-collar,married,primary,0,23,1,0,unknown,5,5,291,1,-1,0,0
74,43,technician,married,secondary,0,1937,1,0,unknown,5,5,181,1,-1,0,0
75,53,technician,married,secondary,0,384,1,0,unknown,5,5,176,1,-1,0,0
76,44,blue-collar,married,secondary,0,582,0,1,unknown,5,5,211,1,-1,0,0
77,55,services,divorced,secondary,0,91,0,0,unknown,5,5,349,1,-1,0,0
78,49,services,divorced,secondary,0,0,1,1,unknown,5,5,272,1,-1,0,0
79,55,services,divorced,secondary,1,1,1,0,unknown,5,5,208,1,-1,0,0
80,45,admin.,single,secondary,0,206,1,0,unknown,5,5,193,1,-1,0,0
81,47,services,divorced,secondary,0,164,0,0,unknown,5,5,212,1,-1,0,0
82,42,technician,single,secondary,0,690,1,0,unknown,5,5,20,1,-1,0,0
83,59,admin.,married,secondary,0,2343,1,0,unknown,5,5,1042,1,-1,0,1
84,46,self-employed,married,tertiary,0,137,1,1,unknown,5,5,246,1,-1,0,0
85,51,blue-collar,married,primary,0,173,1,0,unknown,5,5,529,2,-1,0,0
86,56,admin.,married,secondary,0,45,0,0,unknown,5,5,1467,1,-1,0,1
87,41,technician,married,secondary,0,1270,1,0,unknown,5,5,1389,1,-1,0,1
88,46,management,divorced,secondary,0,16,1,1,unknown,5,5,188,2,-1,0,0
89,57,retired,married,secondary,0,486,1,0,unknown,5,5,180,2,-1,0,0
90,42,management,single,secondary,0,50,0,0,unknown,5,5,48,1,-1,0,0
91,30,technician,married,secondary,0,152,1,1,unknown,5,5,213,2,-1,0,0
92,60,admin.,married,secondary,0,290,1,0,unknown,5,5,583,1,-1,0,0
93,60,blue-collar,married,unknown,0,54,1,0,unknown,5,5,221,1,-1,0,0
94,57,entrepreneur,divorced,secondary,0,-37,0,0,unknown,5,5,173,1,-1,0,0
95,36,management,married,tertiary,0,101,1,1,unknown,5,5,426,1,-1,0,0
96,55,blue-collar,married,secondary,0,383,0,0,unknown,5,5,287,1,-1,0,0
97,60,retired,married,tertiary,0,81,1,0,unknown,5,5,101,1,-1,0,0
98,39,technician,married,secondary,0,0,1,0,unknown,5,5,203,1,-1,0,0
99,46,management,married,tertiary,0,229,1,0,unknown,5,5,197,1,-1,0,0
100,44,blue-collar,married,secondary,0,-674,1,0,unknown,5,5,257,1,-1,0,0
101,53,blue-collar,married,primary,0,90,0,0,unknown,5,5,124,1,-1,0,0
102,52,blue-collar,married,primary,0,128,1,0,unknown,5,5,229,1,-1,0,0
103,59,blue-collar,married,primary,0,179,1,0,unknown,5,5,55,3,-1,0,0
104,27,technician,single,tertiary,0,0,1,0,unknown,5,5,400,1,-1,0,0
105,44,blue-collar,married,secondary,0,54,1,0,unknown,5,5,197,1,-1,0,0
106,47,technician,married,tertiary,0,151,1,0,unknown,5,5,190,1,-1,0,0
107,34,admin.,married,secondary,0,61,0,1,unknown,5,5,21,1,-1,0,0
108,59,retired,single,secondary,0,30,1,0,unknown,5,5,514,1,-1,0,0
